join,name,ye
620160,MAPLEWOOD P-04,6
620370,NORTH OAKS P-1,6
620390,NORTH ST. PAUL P-1,6
620530,ST ANTHONY P-1,6
620780,ST. PAUL W-2 P-11,6
620790,ST. PAUL W-2 P-12,6
620810,ST. PAUL W-2 P-14,6
620880,ST. PAUL W-3 P-05,6
620890,ST. PAUL W-3 P-06,6
621100,ST. PAUL W-4 P-11,6
621110,ST. PAUL W-4 P-12,6
621130,ST. PAUL W-4 P-14,6
621180,ST. PAUL W-5 P-03,6
621250,ST. PAUL W-5 P-10,6
621310,ST. PAUL W-6 P-03,6
621510,ST. PAUL W-7 P-09,6
621630,SHOREVIEW P-5,6
621680,VADNAIS HEIGHTS P-3,6
660005,BRIDGEWATER TWP.,6
660030,FARIBAULT P-2,6
690140,DULUTH P-1,6
690145,DULUTH P-2,6
690205,DULUTH P-13,6
690320,DULUTH P-33,6
690475,EVELETH P-1,6
690595,HERMANTOWN P-1,6
700040,HELENA TWP.,6
700075,NEW PRAGUE P-2,6
700113,SAVAGE P-5,6
700137,SHAKOPEE P-7,6
730005,ALBANY,6
730265,ST CLOUD W1 P2,6
730307,ST CLOUD W3 P2,6
730310,ST CLOUD W3 P3,6
730340,ST CLOUD W4 P3,6
740115,OWATONNA W-4 P-1,6
820065,COTTAGE GROVE P-06,6
820070,COTTAGE GROVE P-07,6
820160,HUGO W-3 P-3A,6
820240,OAKDALE P-4,6
820305,SCANDIA,6
820330,STILLWATER W-3 P-5,6
820360,WEST LAKELAND TWP.,6
820410,WOODBURY P-08,6
830095,ST JAMES CITY W-1,6
850040,GOODVIEW P-2A,6
860125,MONTICELLO P-1,6
020005,ANDOVER P-1,5
020420,BLAINE W-2 P-3,5
020515,BLAINE W-3 P-3,5
020605,CENTERVILLE P-1,5
020905,COLUMBUS P-1,5
021110,COON RAPIDS W-2 P-2,5
021120,COON RAPIDS W-2 P-4,5
021615,FRIDLEY W-1 P-3,5
021715,FRIDLEY W-2 P-3,5
021805,FRIDLEY W-3 P-1,5
021920,HAM LAKE P-4A,5
022230,LINO LAKES P-6,5
030085,ERIE TWP,5
030100,FRAZEE,5
040200,REDBY PREC,5
050120,WATAB TWP,5
060080,ORTONVILLE P-1,5
070065,LAKE CRYSTAL,5
100055,CHASKA W-4,5
100090,LAKETOWN TWP,5
100105,NORWOOD YOUNG AMERICA,5
140010,BARNESVILLE CITY W-1,5
140165,MOORHEAD CITY W-2 P-3,5
140200,MOORHEAD CITY W-3 P-8,5
140205,MOORHEAD CITY W-4 P-9,5
191030,APPLE VALLEY P-03,5
191050,APPLE VALLEY P-5A,5
191070,APPLE VALLEY P-07,5
191090,APPLE VALLEY P-09,5
191300,BURNSVILLE P-10,5
191350,BURNSVILLE P-15,5
191760,EAGAN P-6A,5
191800,EAGAN P-10,5
191870,EAGAN P-17,5
192620,HASTINGS W-1 P-3,5
192660,HASTINGS W-4 P-2,5
192800,INVER GROVE HTS P-10,5
192910,LAKEVILLE P-01,5
194240,ROSEMOUNT P-4,5
194420,SOUTH ST PAUL P-2,5
210100,LA GRAND TWP.,5
220010,BLUE EARTH W-1,5
220160,WINNEBAGO,5
230050,CHATFIELD,5
240050,ALBERT LEA W-6 P-1,5
250075,KENYON,5
250110,RED WING W-1 P-1,5
270025,BLOOMINGTON W-1 P-12,5
270040,BLOOMINGTON W-2 P-13,5
270110,BLOOMINGTON W-4 P-01,5
270230,BROOKLYN CENTER P-07,5
270300,BROOKLYN PARK W-C P-1,5
270305,BROOKLYN PARK W-C P-2,5
270320,BROOKLYN PARK W-C P-5,5
270415,BROOKLYN PARK W-W P-5,5
270650,DAYTON P-03,5
270780,EDEN PRAIRIE P-19A,5
270885,EDINA P-07,5
270925,EDINA P-15C,5
271190,MAPLE GROVE P-01,5
271210,MAPLE GROVE P-05,5
271270,MAPLE GROVE P-17,5
271405,MINNEAPOLIS W-1 P-10,5
271465,MINNEAPOLIS W-3 P-02,5
271630,MINNEAPOLIS W-6 P-06,5
271875,MINNEAPOLIS W-11 P-04,5
271905,MINNEAPOLIS W-12 P-01,5
271915,MINNEAPOLIS W-12 P-03,5
271960,MINNEAPOLIS W-13 P-01,5
271985,MINNEAPOLIS W-13 P-06,5
272000,MINNEAPOLIS W-13 P-09,5
272125,MINNETONKA W-2 P-B,5
272150,MINNETONKA W-3 P-B,5
272195,MINNETONKA W-4 P-C,5
272265,MOUND P-4,5
272470,PLYMOUTH W-3 P-15,5
272590,RICHFIELD W-2 P-02,5
272910,WAYZATA P-01,5
280070,LA CRESCENT P-1,5
300005,ATHENS TWP,5
300020,CAMBRIDGE WEST - P1,5
300035,ISANTI P-1,5
310085,COLERAINE,5
320070,JACKSON W-2,5
340210,WILLMAR W-3 P-2,5
380090,TWO HARBORS W-3,5
460040,FAIRMONT W-1 P-2,5
480110,PRINCETON,5
490130,LITTLE FALLS W-3,5
520125,ST PETER W-1 P-2,5
520135,ST PETER W-2 P-2,5
550005,BYRON,5
550065,MARION TWP. P-1,5
550100,ROCHESTER W1 P3,5
550130,ROCHESTER W2 P5,5
550142,ROCHESTER W3 P2,5
550152,ROCHESTER W3 P7,5
550172,ROCHESTER W5 P1,5
550198,ROCHESTER W6 P3,5
560210,FERGUS FALLS TWP,5
560360,PERHAM,5
570165,THIEF RIVER FALLS (4),5
620010,ARDEN HILLS P-1,5
620100,LITTLE CANADA P-1,5
620200,MAPLEWOOD P-08,5
620330,NEW BRIGHTON P-1,5
620360,NEW BRIGHTON P-7,5
620560,ST. PAUL W-1 P-03,5
620600,ST. PAUL W-1 P-07,5
620640,ST. PAUL W-1 P-11,5
620760,ST. PAUL W-2 P-09,5
620800,ST. PAUL W-2 P-13,5
620860,ST. PAUL W-3 P-03,5
620960,ST. PAUL W-3 P-13,5
620970,ST. PAUL W-3 P-14,5
621030,ST. PAUL W-4 P-04,5
621120,ST. PAUL W-4 P-13,5
621140,ST. PAUL W-4 P-15,5
621240,ST. PAUL W-5 P-09,5
621440,ST. PAUL W-7 P-02,5
621490,ST. PAUL W-7 P-07,5
621670,VADNAIS HEIGHTS P-2,5
621750,WHITE BEAR LAKE W-2 P-1,5
621780,WHITE BEAR LAKE W-5 P-1,5
660105,NORTHFIELD W-3 P-1,5
660113,NORTHFIELD W-4 P-1,5
690170,DULUTH P-7,5
690250,DULUTH P-20,5
690285,DULUTH P-27,5
690290,DULUTH P-28,5
690295,DULUTH P-29,5
690325,DULUTH P-34,5
690450,ELY,5
690960,UNORG. PRCT. 14,5
700025,CREDIT RIVER TWP.,5
700091,PRIOR LAKE P-4,5
700092,PRIOR LAKE P-5,5
700130,SHAKOPEE P-4,5
710025,BIG LAKE TWP P1,5
710075,ORROCK TWP,5
710122,BIG LAKE TWP P4,5
730295,ST CLOUD W2 P2,5
730305,ST CLOUD W3 P1,5
730345,ST CLOUD W4 P4,5
740135,OWATONNA W-5 P-2,5
770126,LONG PRAIRIE,5
810090,WASECA W-2 P-A,5
820030,BAYTOWN TWP.,5
820040,COTTAGE GROVE P-01,5
820145,HUGO W-1 P-1,5
820165,HUGO W-3 P-3B,5
820225,OAKDALE P-1,5
820425,WOODBURY P-11,5
830050,MADELIA,5
840040,BRECKENRIDGE P-3,5
850155,WINONA W-1 P-1,5
860015,ANNANDALE,5
860040,CHATHAM TWP,5
860065,CORINNA TWP,5
860135,MONTROSE,5
860160,SILVER CREEK TWP,5
010005,AITKIN,4
020010,ANDOVER P-2,4
020035,ANDOVER P-7,4
020040,ANDOVER P-8,4
020110,ANOKA P-2,4
020140,ANOKA P-8,4
020305,BLAINE W-1 P-1,4
020340,BLAINE W-1 P-8,4
020415,BLAINE W-2 P-2B,4
020425,BLAINE W-2 P-4A,4
020815,COLUMBIA HEIGHTS P-3,4
020830,COLUMBIA HEIGHTS P-6,4
020835,COLUMBIA HEIGHTS P-7,4
021115,COON RAPIDS W-2 P-3,4
021305,COON RAPIDS W-4 P-1,4
021410,COON RAPIDS W-5 P-2,4
021425,COON RAPIDS W-5 P-5,4
021505,EAST BETHEL P-1,4
021515,EAST BETHEL P-3,4
021810,FRIDLEY W-3 P-2,4
022205,LINO LAKES P-1,4
022310,LINWOOD P-2,4
023005,SAINT FRANCIS P-1,4
030055,DETROIT LAKES W1 P1,4
040180,PONEMAH PREC,4
040202,LITTLE ROCK,4
050010,FOLEY,4
070150,MANKATO W-01 P-12,4
070160,MANKATO W-01 P-14,4
070170,MANKATO W-02 P-16,4
070230,SAINT CLAIR,4
070245,SOUTH BEND TWP,4
080100,NEW ULM W-3 P-1,4
080110,NEW ULM W-4 P-1,4
090040,CLOQUET W-1,4
090050,CLOQUET W-3,4
100037,CHANHASSEN P-4,4
100038,CHANHASSEN P-5,4
100119,VICTORIA P-3,4
100120,WACONIA W-1,4
110250,SHINGOBEE TWP P-1,4
110285,TURTLE LAKE TWP,4
130020,CHISAGO CITY,4
130070,RUSH CITY,4
140105,HAWLEY CITY,4
140214,MOORHEAD CITY W-4 P-12,4
180045,BRAINERD W-4 P-1,4
180055,BREEZY POINT CITY,4
180065,CROSBY CITY,4
180160,IRONDALE TWP.,4
191060,APPLE VALLEY P-06,4
191120,APPLE VALLEY P-12,4
191220,BURNSVILLE P-02,4
191290,BURNSVILLE P-09,4
191370,BURNSVILLE P-17,4
191730,EAGAN P-03,4
191755,EAGAN P-5B,4
191810,EAGAN P-11,4
192635,HASTINGS W-2 P-2,4
192750,INVER GROVE HTS P-05,4
192930,LAKEVILLE P-03,4
193450,MENDOTA HTS P-5,4
194920,WEST ST PAUL W-1 P-2,4
200040,HAYFIELD,4
200051,KASSON P-2,4
200080,WASIOJA TWP.,4
210010,ALEXANDRIA W-2,4
210135,MILTONA TWP.,4
220155,WELLS,4
240035,ALBERT LEA W-4 P-1,4
250025,CANNON FALLS P-2,4
250100,PINE ISLAND,4
250130,RED WING W-2 P-2,4
270015,BLOOMINGTON W-1 P-09,4
270020,BLOOMINGTON W-1 P-10,4
270045,BLOOMINGTON W-2 P-16,4
270060,BLOOMINGTON W-2 P-24,4
270080,BLOOMINGTON W-3 P-11,4
270105,BLOOMINGTON W-3 P-22,4
270115,BLOOMINGTON W-4 P-02,4
270340,BROOKLYN PARK W-E P-1A,4
270345,BROOKLYN PARK W-E P-1O,4
270640,DAYTON P-01,4
270725,EDEN PRAIRIE P-08,4
270730,EDEN PRAIRIE P-09,4
270745,EDEN PRAIRIE P-12,4
270750,EDEN PRAIRIE P-13,4
270895,EDINA P-09,4
271120,HOPKINS P-03,4
271205,MAPLE GROVE P-04,4
271275,MAPLE GROVE P-18,4
271305,MAPLE GROVE P-24,4
271380,MINNEAPOLIS W-1 P-05,4
271435,MINNEAPOLIS W-2 P-06,4
271445,MINNEAPOLIS W-2 P-08,4
271475,MINNEAPOLIS W-3 P-04,4
271575,MINNEAPOLIS W-5 P-05,4
271610,MINNEAPOLIS W-6 P-02,4
271625,MINNEAPOLIS W-6 P-05,4
271685,MINNEAPOLIS W-7 P-09,4
271780,MINNEAPOLIS W-9 P-07,4
271860,MINNEAPOLIS W-11 P-01,4
271930,MINNEAPOLIS W-12 P-06,4
271957,MINNEAPOLIS W-12 P-13,4
271980,MINNEAPOLIS W-13 P-05,4
271990,MINNEAPOLIS W-13 P-07,4
